('Total Revenue', '97,150,000.00', '96,773,000.00', '81,462,000.00', '53,823,000.00', '31,536,000.00')
         297891 function calls (297717 primitive calls) in 5.161 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.000    0.000 enum.py:1292(value)
       50    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
       48    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       47    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
       47    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
       43    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       43    0.001    0.000    1.534    0.036 {method 'readline' of '_io.BufferedReader' objects}
       41    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       41    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       39    0.000    0.000    0.000    0.000 message.py:511(set_raw)
       39    0.001    0.000    0.001    0.000 _policybase.py:301(header_source_parse)
       39    0.000    0.000    0.001    0.000 _collections.py:300(add)
       39    0.000    0.000    0.000    0.000 __init__.py:609(__missing__)
       37    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
       34    0.000    0.000    0.000    0.000 _parser.py:240(__next)
       33    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
       31    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       31    0.000    0.000    0.000    0.000 _parser.py:261(get)
       28    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       24    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
       24    0.000    0.000    0.000    0.000 util.py:19(to_str)
       24    0.000    0.000    0.001    0.000 enum.py:726(__call__)
       23    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       22    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       22    0.000    0.000    0.000    0.000 _parser.py:176(append)
       21    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     21/9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     21/9    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       18    0.000    0.000    0.000    0.000 url.py:330(_idna_encode)
       18    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       18    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
       16    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
       16    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       16    0.000    0.000    0.001    0.000 message.py:494(get)
       16    0.000    0.000    0.000    0.000 _parser.py:256(match)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       15    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       15    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
       15    0.000    0.000    0.000    0.000 timeout.py:130(_validate_timeout)
       15    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       14    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       14    0.000    0.000    0.000    0.000 {method 'count' of 'bytes' objects}
       14    0.000    0.000    0.000    0.000 {method 'subn' of 're.Pattern' objects}
       14    0.001    0.000    0.002    0.000 url.py:227(_encode_invalid_chars)
       13    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       12    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
       12    0.000    0.000    0.000    0.000 connection.py:357(<genexpr>)
       11    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       11    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       10    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       10    0.000    0.000    0.000    0.000 {method 'seek' of '_io.StringIO' objects}
       10    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       10    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
       10    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
        9    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        9    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
