('Total Revenue', '97,150,000.00', '96,773,000.00', '81,462,000.00', '53,823,000.00', '31,536,000.00')
         294720 function calls (294516 primitive calls) in 8.921 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.004    0.001 feedparser.py:216(_parsegen)
       13    0.000    0.000    0.002    0.000 <frozen _collections_abc>:974(update)
      304    0.000    0.000    0.000    0.000 socket.py:732(readable)
       40    0.000    0.000    0.876    0.022 response.py:1151(_handle_chunk)
      3/2    0.000    0.000    2.544    1.272 sessions.py:159(resolve_redirects)
        8    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      608    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      2/1    0.000    0.000    3.684    3.684 sessions.py:673(send)
       42    0.000    0.000    0.025    0.001 response.py:469(_decode)
    44/14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       10    0.000    0.000    0.001    0.000 connection.py:355(putheader)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
     1821    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       11    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.002    0.001 connection.py:369(request)
       40    0.000    0.000    0.001    0.000 _policybase.py:301(header_source_parse)
  129/127    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      188    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      120    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
       12    0.000    0.000    0.000    0.000 message.py:529(get_all)
   188/73    0.000    0.000    0.001    0.000 element.py:2336(_matches)
      185    0.000    0.000    0.001    0.000 <frozen os>:703(__iter__)
       41    0.000    0.000    0.001    0.000 response.py:1133(_update_chunk_length)
       48    0.000    0.000    0.001    0.000 feedparser.py:127(__next__)
        2    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
        1    0.000    0.000    0.882    0.882 connection.py:669(connect)
        2    0.000    0.000    1.704    0.852 client.py:324(begin)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      225    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       12    0.000    0.000    0.001    0.000 queue.py:122(put)
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        2    0.000    0.000    0.232    0.116 client.py:213(_read_headers)
        4    0.000    0.000    0.002    0.000 feedparser.py:100(push)
       10    0.000    0.000    0.001    0.000 client.py:1292(putheader)
       33    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
        1    0.000    0.000    0.226    0.226 connection.py:27(create_connection)
        4    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
       16    0.000    0.000    0.001    0.000 message.py:494(get)
       62    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        2    0.000    0.000    2.593    1.296 connectionpool.py:592(urlopen)
      120    0.000    0.000    0.002    0.000 _htmlparser.py:241(handle_comment)
        2    0.000    0.000    0.001    0.000 _collections.py:335(extend)
       54    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
       22    0.000    0.000    0.000    0.000 parse.py:205(_hostinfo)
       52    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
        2    0.000    0.000    1.706    0.853 connection.py:485(getresponse)
       23    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
       48    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        2    0.000    0.000    0.006    0.003 parser.py:56(parsestr)
        3    0.000    0.000    0.001    0.000 url.py:367(parse_url)
       51    0.000    0.000    0.001    0.000 __init__.py:280(_compile)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1356(add_cookie_header)
        1    0.000    0.000    3.913    3.913 financial.py:12(fetch_page)
      185    0.000    0.000    0.001    0.000 <frozen _collections_abc>:868(__iter__)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
        6    0.000    0.000    0.001    0.000 cookiejar.py:1680(extract_cookies)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       40    0.000    0.000    0.000    0.000 _collections.py:300(add)
        2    0.000    0.000    2.597    1.299 adapters.py:613(send)
       10    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
        1    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 response.py:577(__init__)
        2    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
        1    0.000    0.000    8.921    8.921 financial.py:51(get_financial_data)
      6/2    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1261(__init__)
        2    0.000    0.000    0.000    0.000 _collections.py:141(clear)
        2    0.000    0.000    0.006    0.003 parser.py:41(parse)
       65    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        8    0.000    0.000    0.001    0.000 cookies.py:35(__init__)
       48    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
        2    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.005    0.005 sessions.py:457(prepare_request)
       25    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
       22    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
       46    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 message.py:243(get_payload)
        6    0.000    0.000    0.001    0.000 cookiejar.py:1599(make_cookies)
        4    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
        1    0.000    0.000    0.000    0.000 response.py:143(flush)
        2    0.000    0.000    0.003    0.002 utils.py:204(get_netrc_auth)
        2    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       44    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        2    0.000    0.000    2.590    1.295 connectionpool.py:377(_make_request)
       10    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
        1    0.000    0.000    0.000    0.000 response.py:118(__init__)
        2    0.000    0.000    0.001    0.001 _collections.py:240(__init__)
        2    0.000    0.000    0.000    0.000 client.py:442(flush)
       12    0.000    0.000    0.000    0.000 client.py:1064(_output)
       43    0.000    0.000    1.076    0.025 response.py:1044(stream)
        1    0.000    0.000    0.215    0.215 __init__.py:122(__init__)
       20    0.000    0.000    0.000    0.000 parse.py:164(hostname)
       51    0.000    0.000    0.002    0.000 parser.py:123(set_cdata_mode)
       32    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
       43    0.000    0.000    1.076    0.025 models.py:816(generate)
       65    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 response.py:252(put)
        3    0.000    0.000    0.002    0.001 utils.py:765(should_bypass_proxies)
        2    0.000    0.000    0.000    0.000 typing.py:392(inner)
       45    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.227    0.227 connection.py:192(_new_conn)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
        2    0.000    0.000    0.000    0.000 models.py:85(path_url)
       25    0.000    0.000    0.000    0.000 threading.py:299(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.654    0.654 ssl.py:449(wrap_socket)
        2    0.000    0.000    1.464    0.732 client.py:291(_read_status)
        6    0.000    0.000    0.001    0.000 cookies.py:124(extract_cookies_to_jar)
        2    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
        1    0.000    0.000    0.655    0.655 connection.py:846(_ssl_wrap_socket_and_match_hostname)
       52    0.000    0.000    0.001    0.000 _policybase.py:319(header_fetch_parse)
        2    0.000    0.000    0.001    0.000 client.py:1136(putrequest)
        4    0.000    0.000    0.005    0.001 feedparser.py:171(feed)
       10    0.000    0.000    0.002    0.000 structures.py:40(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:726(__call__)
        2    0.000    0.000    0.000    0.000 message.py:483(items)
        2    0.000    0.000    0.000    0.000 response.py:9(is_fp_closed)
        2    0.000    0.000    0.000    0.000 _collections.py:93(__getitem__)
        2    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
       25    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      225    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.000    0.000 socket.py:304(makefile)
       97    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       23    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
        3    0.000    0.000    0.000    0.000 url.py:263(_remove_path_dot_segments)
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 response.py:1124(supports_chunked_reads)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7f1cccd46e80}
        2    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       56    0.000    0.000    0.002    0.000 _htmlparser.py:90(handle_startendtag)
        2    0.000    0.000    0.001    0.001 _compiler.py:740(compile)
        2    0.000    0.000    0.171    0.086 response.py:864(_raw_read)
        2    0.000    0.000    0.006    0.003 client.py:231(_parse_header_lines)
        1    0.000    0.000    3.691    3.691 sessions.py:500(request)
        2    0.000    0.000    0.002    0.001 adapters.py:359(build_response)
       12    0.000    0.000    0.000    0.000 queue.py:254(_get)
        7    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        9    0.000    0.000    0.000    0.000 url.py:330(_idna_encode)
        1    0.000    0.000    0.000    0.000 {method 'register' of 'select.poll' objects}
        2    0.000    0.000    0.000    0.000 response.py:316(__init__)
        2    0.000    0.000    0.000    0.000 url.py:349(_encode_target)
        5    0.000    0.000    0.000    0.000 url.py:301(_normalize_host)
        8    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
        2    0.000    0.000    0.000    0.000 utils.py:514(_parse_content_type_header)
        2    0.000    0.000    0.000    0.000 ssl.py:1200(sendall)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       11    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        7    0.000    0.000    0.001    0.000 sessions.py:61(merge_setting)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       40    0.000    0.000    0.000    0.000 message.py:511(set_raw)
        1    0.000    0.000    0.000    0.000 {built-in method today}
       14    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.171    0.171 response.py:916(read)
        2    0.000    0.000    0.001    0.000 adapters.py:546(request_url)
        1    0.000    0.000    0.224    0.224 socket.py:946(getaddrinfo)
        3    0.000    0.000    0.000    0.000 client.py:430(close)
        2    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
      159    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        4    0.000    0.000    0.000    0.000 utils.py:838(select_proxy)
       14    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
        6    0.000    0.000    0.000    0.000 connection.py:163(host)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        2    0.000    0.000    0.882    0.441 connectionpool.py:1085(_validate_conn)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      123    0.000    0.000    0.000    0.000 element.py:1543(get)
        1    0.000    0.000    3.692    3.692 api.py:14(request)
       17    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 sessions.py:390(__init__)
        1    0.000    0.000    3.692    3.692 api.py:62(get)
        6    0.000    0.000    0.004    0.001 feedparser.py:176(_call_parse)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 connectionpool.py:175(__init__)
       10    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       72    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.000    0.000    0.001    0.001 models.py:409(prepare_url)
       13    0.000    0.000    0.000    0.000 queue.py:154(get)
        2    0.000    0.000    0.000    0.000 adapters.py:202(__init__)
        2    0.000    0.000    1.704    0.852 client.py:1384(getresponse)
        7    0.000    0.000    0.000    0.000 utils.py:345(to_key_val_list)
        6    0.000    0.000    0.001    0.000 contextlib.py:141(__exit__)
       24    0.000    0.000    0.000    0.000 threading.py:394(notify)
       10    0.000    0.000    0.000    0.000 {method 'subn' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:504(set_alpn_protocols)
        8    0.000    0.000    0.001    0.000 _htmlparser.py:182(handle_charref)
        1    0.000    0.000    0.000    0.000 socket.py:506(detach)
        2    0.000    0.000    0.002    0.001 adapters.py:446(get_connection_with_tls_context)
        2    0.000    0.000    0.000    0.000 socket.py:770(close)
        2    0.000    0.000    0.001    0.001 poolmanager.py:305(connection_from_context)
        2    0.000    0.000    0.000    0.000 retry.py:387(is_retry)
        7    0.000    0.000    0.000    0.000 structures.py:57(__iter__)
        2    0.000    0.000    0.000    0.000 _compiler.py:573(_code)
       23    0.000    0.000    0.000    0.000 util.py:19(to_str)
        1    0.000    0.000    0.000    0.000 response.py:256(get)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        8    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        5    0.000    0.000    1.082    0.216 models.py:890(content)
        7    0.000    0.000    0.000    0.000 timeout.py:109(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        2    0.000    0.000    0.000    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.653    0.653 ssl.py:1313(do_handshake)
        2    0.000    0.000    0.170    0.085 client.py:463(read)
       51    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        2    0.000    0.000    0.000    0.000 retry.py:202(__init__)
        6    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.001    0.001 models.py:351(prepare)
       25    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        6    0.000    0.000    0.000    0.000 response.py:741(_error_catcher)
       35    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
        2    0.000    0.000    0.001    0.001 poolmanager.py:276(connection_from_host)
        3    0.000    0.000    0.000    0.000 url.py:100(__new__)
       16    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
        3    0.000    0.000    0.000    0.000 idna.py:155(encode)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
        2    0.000    0.000    0.001    0.000 connection.py:335(putrequest)
        4    0.000    0.000    0.000    0.000 parse.py:413(_splitnetloc)
